sehir,x,y
Adana,-8,-138
Adıyaman,136,-99
Afyon,-259,-38
Ağrı,400,36
Amasya,11,94
Ankara,-149,37
Antalya,-289,-164
Artvin,324,146
Aydın,-406,-86
Balıkesir,-402, 42
Bilecik,-283,62
Bingöl,268,-15
Bitlis,349,-47
Bolu,-191,90
Burdur,-289,-112
Bursa,-327,64
Çanakkale,-468,71
Çankırı,-106,92
Çorum,-41,76
Denizli,-342,-91
Diyarbakır,254,-76
Edirne,-452,159
Elazığ,190,-46
Erzincan,195,29
Erzurum,310,52
Eskişehir,-231,29
Gaziantep,100,-147
Giresun,155,101
Gümüşhane,190,76
Hakkari,453,-100
Hatay,37,-195
Isparta,-241,-98
Mersin,-85,-176
İstanbul,-336, 141
İzmir,-445,-47
Kars,388,92
Kastamonu,-100,150
Kayseri,17,-50
Kırklareli,-407, 186
Kırşehir,-74,-2
Kocaeli,-288,118
Konya,-162,-89
Kütahya,-314,11
Malatya,136,-47
Manisa,-405,-12
Kahramanmaraş,70,-96
Mardin,288,-126
Muğla,-417,-130
Muş,328,-13
Nevşehir,-44,-40
Niğde,-41,-95
Ordu,104,110
Rize,270,119
Sakarya,-252,127
Samsun,25,126
Siirt,355,-82
Sinop,-32,158
Sivas,86,19
Tekirdağ,-395, 144
Tokat,60,75
Trabzon,218,108
Tunceli,200,-4
Şanlıurfa,190,-145
Uşak,-328,-42
Van,438,-41
Yozgat,-15,20
Zonguldak,-200,155
Aksaray,-83,-68
Bayburt,240,70
Karaman,-117,-141
Kırıkkale,-95,38
Batman,300,-94
Şırnak,378,-110
Bartın,-160,178
Ardahan,374,137
Iğdır,445,60
Yalova,-337, 111
Karabük,-149,130
Kilis,87,-160
Osmaniye,42,-137
Düzce,-219,113
